FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,voicekey.keys,voicekey.rt,voicekey.started,voicekey.stopped,mic.filename,ISI.started,ISI.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
ROOM,GREEN,RED,white,"[-0.4, 0]",ic,fov_dis,11,0,15,15,40,None,,62.32172309999987,64.32142100000056,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785666.328.wav,0.01310191999982635,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,BLUE,GREEN,white,"[0.4, 0]",ic,fov_dis,12,0,16,16,45,None,,65.32110769999963,67.32056199999897,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785669.326.wav,0.014750919999642065,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,RED,ROOM,white,"[-0.4, 0]",c,foveal_unified,1,0,17,17,0,None,,68.32064150000042,70.32031789999928,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785672.327.wav,0.013163219999114517,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
BLUE,BLUE,PUB,white,"[0.4, 0]",c,foveal_unified,2,0,18,18,6,None,,71.3199642999989,73.31959049999932,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785675.325.wav,0.014819219999480993,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,BLUE,SHORT,white,"[0.4, 0]",ic,foveal_unified,4,0,19,19,13,None,,74.31956469999932,76.31919489999927,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785678.323.wav,0.014706519998071599,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,white,RED,GREEN,"[-0.4, 0]",ic,para_unified,15,0,20,20,56,None,,77.31906619999972,79.31893180000043,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785681.324.wav,0.013132120000591385,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,white,WEEKLY,YELLOW,"[0.4, 0]",c,para_dis,6,0,21,21,23,None,,80.31833290000031,82.31832799999938,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785684.324.wav,0.01469901999917056,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,white,WEEKLY,RED,"[0.4, 0]",ic,para_dis,8,0,22,22,31,None,,83.31807619999927,85.31707049999932,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785687.324.wav,0.01548772000023746,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,GREEN,GREEN,white,"[-0.4, 0]",c,fov_dis,9,0,23,23,33,None,,86.33361599999989,88.33335269999952,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785690.339.wav,0.0148683199986408,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,RED,WEEKLY,white,"[0.4, 0]",ic,foveal_unified,4,0,24,24,15,None,,89.33331910000015,91.33264710000003,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785693.339.wav,0.014877120000164723,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,white,GREEN,GREEN,"[0.4, 0]",c,para_unified,14,0,25,25,53,None,,92.33268080000016,94.3319608999991,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785696.339.wav,0.01439421999930346,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,GREEN,GREEN,white,"[0.4, 0]",c,fov_dis,10,0,26,26,37,None,,95.31559089999973,97.31567509999877,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785699.321.wav,0.01461201999700279,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
